Cards,Status,Type,Subtype,R,Mana cost,p/t,Std Ability,Ability,Passive,Active,Flavour Text,Card Draft,Card Alt,Comment,"Approved by"
person",Image,Image alt 2,Prompt,image_file_path,Word Count,Column 2,
The Enterprise,Ready to print,Artifact,Vehicle,c,{4},*/*,Crew 3,,,{X}: ~'s base power and toughness become X. Activate only as a sorcery.,<Insert name of parent company; subject to change.>,,,,,,,,assets/creatures/theenterprise.png,23,,
Glitter Bomber,Ready to print,Artifact Creature,Gnome,c,{R},1/1,Haste,"When ~ dies, create a Treasure token.",,,,,,,,,,,assets/creatures/glitterbomb.png,,,
DAP,Ready to print,Artifact Creature,Neglected Tech Service,c,{1}{W}{B},3/1,Flying,,,"{i}Service Sunset{/i} {-} {B}, Sacrifice DAP: //Add four mana in any combination of {B} and {W}.

",,,,,,,,,assets/creatures/dap.png,17,,
Cloud API,Ready to print,Artifact Creature,Neglected Tech Service ,c,{1}{W}{B},1/2,,,"When ~ enters the battlefield, you may search your library for a creature card with flying, reveal it, put it into your hand, then shuffle.
{i}Service Sunset{/i} {-} {1}{B}{W}, {T}, Sacrifice ~: Search your library for a creature card with flying, reveal it, put it into your hand, then shuffle.

",,"""We can create IAC by way of APIs! The sky is the limit, we can even sell it standalone...""",,,,,,,,assets/creatures/cloudapi2.png,68,,
Keycloak,Ready to print,Artifact Creature,Neglected Tech Service ,c,{1}{B},1/2,,"When ~ enters the battlefield, create an Authentication token.
{i}Service Sunset{/i} {-} {2}{B}, {T}, Sacrifice this creature: Destroy target creature.",,,"Auth 2.0 {-} such a vision, a wonder, a glorious future. Now only supporting a husk of product.",,,,,,,,assets/creatures/keycloak.png,37,,
Microservice Assembler,Ready to print,Artifact Creature,Tech,c,{W},1/1,,"When ~ enters, create a 1/1 colorless Microservice artifact creature token.",,,,,,,,,,,assets/creatures/developer-converyor-worker.png,,,
Avisretur,Ready to print,Artifact Creature,Tech Service,c,{R},2/2,Haste,,"At the beginning of the end step, return ~ to its owner's hand.
",,"""Take them back!""",,,,,,,"A colourful Vermeer-style oil painting with stained glass-like leaded lines, designed in an Art Nouveau style. A scene depicting newspapers and magazines being returned in bulk to a shop. At the top of this image, an icon with a symbolic depiction of a whirlwind with newspapers that goes around and around — is integrated into the Art Nouveau framing. The scene is painted in rich, earthy tones with dramatic lighting and textured brushwork.",assets/creatures/avisretur.png,17,,
Buddy,Ready to print,Artifact Creature,Tech Service,c,{2}{U}{R},4/2,Flash,"~ attacks each combat if able.
Whenever ~ attacks, Deliver 2.",,,,,,,,,,,assets/creatures/buddy2.png,11,,
Auth,Ready to print,Artifact Creature,Tech Service,c,{2}{G}{G},1/4,Defender,,"When ~ enters the battlefield, create an Authentication token. {i}({T}, Sacrifice this artifact: Target creature can't be blocked this turn.){/i}
As long as ~ is on the battlefield, you may tap Authentication tokens you control instead of sacrificing them to add {G}.
","{2}{G}, {T}: Create an Authentication token.","A homemade security solution with questionable logic {lns}{-} but somehow, it works.",,,,,,,,assets/creatures/auth2.png,60,,
Cargostream,Ready to print,Artifact Creature,Tech Service,c,{1}{W}{U},1/2,Flying,"When ~ enters the battlefield, scry 1, then draw a card.",,,,,,,,,,,assets/creatures/cargostream2.png,12,,
DRP,Ready to print,Artifact Creature,Tech Service,c,{2}{W}{G},2/2,Vigilance,,,{T}: Add {G}{G} to your mana pool.,"""""You, Dynamic Route Planner, will henceforth be known as 'derp'.""""",,,,,,,,assets/creatures/drp2.png,18,,
Flow,Ready to print,Artifact Creature,Tech Service,c,{2}{R}{G},2/2,Double strike,,"When ~ enters the battlefield, Deliver 2.",,,,,,,,,,assets/creatures/flow3.png,9,,
